day_avg_dwell,day_of_week,lat,long,off,on,route,stop_name,total,trip_avg_dwell,unique_stop_number
1.4,WEEKDAY,39.967461,-82.98129,1,1,11,E LONG ST & HAMILTON AVE,2,0.1,4307
1.1,WEEKDAY,39.974082,-82.947542,1,2,7,N NELSON RD & MILLBROOK,2,0.0,4313
9.5,WEEKDAY,39.974001,-82.955909,4,12,7,GREENWAY AVE & GREENWAY,16,0.1,4316
4.3,WEEKDAY,39.969164,-82.961713,4,5,11,TAYLOR AVE & E LONG ST,9,0.2,4320
2.0,WEEKDAY,39.994694,-82.86869,1,3,24,N HAMILTON RD & SAWYER R,4,0.1,4391
3.0,WEEKDAY,39.983754,-82.87024,2,2,24,N HAMILTON RD & WOODCLIF,4,0.1,4392
8.3,WEEKDAY,39.980579,-82.872722,5,16,24,N HAMILTON RD & POTH RD,21,0.2,4393
0.3,WEEKDAY,40.103646,-83.056484,0,0,74,SNOUFFER RD & BRIDE WATE,0,0.1,4395
0.0,WEEKDAY,40.103802,-83.061355,0,0,74,SNOUFFER RD & DONAHUE CT,0,0.0,4396
0.1,WEEKDAY,40.109012,-83.065178,0,0,74,SMOKY ROW RD & QUEENSBRI,0,0.0,4398
0.3,WEEKDAY,40.117716,-83.067304,1,0,74,SMOKY ROW RD & HARD RD,1,0.1,4400
0.0,WEEKDAY,40.120247,-83.067904,0,0,74,SMOKY ROW RD & SUTTER PK,0,0.0,4401
0.0,WEEKDAY,40.125871,-83.06922,0,0,74,SMOKY ROW RD & PLAINS BL,0,0.0,4402
0.0,WEEKDAY,40.129035,-83.069902,0,0,74,SMOKY ROW RD & STOWBRIDG,0,0.0,4403
7.9,WEEKDAY,39.974095,-82.958871,16,3,7,GREENWAY AVE & PARKWOOD,19,0.1,4424
6.3,WEEKDAY,39.974101,-82.958134,2,10,7,GREENWAY AVE & ELDRIDGE,12,0.1,4426
2.8,WEEKDAY,39.985295,-82.912567,5,0,7,OSBORN AVE & E 5TH AVE,6,0.0,4427
6.5,WEEKDAY,40.096092,-82.964167,0,2,42,SHARON WOODS BLVD & SKYW,2,3.2,4439
7.0,WEEKDAY,40.030828,-83.029767,3,14,32,W NORTH BROADWAY & OLENT,16,0.2,4444
6.2,WEEKDAY,39.980775,-82.872384,14,4,24,N HAMILTON RD & POTH RD,19,0.2,4353
0.6,WEEKDAY,39.983617,-82.870127,0,1,24,N HAMILTON RD & WOODCLIF,1,0.0,4354
0.5,WEEKDAY,39.995519,-82.868444,1,0,24,N HAMILTON RD & SAWYER R,1,0.0,4355
19.7,WEEKDAY,40.01951,-82.892726,26,24,46,AGLER RD & GAHANNA PARK,50,4.9,4367
0.0,WEEKDAY,40.019149,-82.899527,0,0,46,AGLER RD & LINCOLNSHIRE,0,0.0,4369
16.0,WEEKDAY,39.954815,-82.999806,12,52,9,W MOUND ST & S HIGH ST,64,0.6,4228
0.3,WEEKDAY,40.028447,-83.1035,1,0,32,FISHINGER RD & DUBLIN RD,1,0.0,5627
0.5,WEEKDAY,40.123347,-83.068651,4,0,74,SMOKY ROW RD & SWANSFORD,4,0.3,5574
0.4,WEEKDAY,40.052176,-82.908901,1,0,9,STELZER RD & COLLIERY AV,1,0.0,5672
2.8,WEEKDAY,40.052173,-82.908937,6,0,23,STELZER RD & COLLIERY AV,7,0.0,5672
1.2,WEEKDAY,40.052181,-82.90889,3,0,31,STELZER RD & COLLIERY AV,3,0.0,5672
5.3,WEEKDAY,40.052186,-82.908909,1,1,32,STELZER RD & COLLIERY AV,2,0.2,5672
0.2,WEEKDAY,40.001137,-83.063683,1,0,13,ARLINGTON AVE & TEWKSBUR,1,0.1,1545
1.2,WEEKDAY,39.881662,-83.085193,1,1,3,COLUMBUS ST & HAUGHN RD,2,0.0,6984
1.0,WEEKDAY,39.882058,-83.089248,0,0,3,COLUMBUS ST & DUDLEY AVE,1,0.0,6985
7.3,WEEKDAY,39.89072,-83.085679,5,9,3,SOUTHWEST BLVD & BROADWA,14,0.2,6986
3.1,WEEKDAY,39.913952,-82.85245,10,1,5,CHATTERTON RD & FONTAINE,11,0.1,6987
6.4,WEEKDAY,39.913609,-82.846959,23,3,5,CHATTERTON RD & FALCON B,26,0.2,6989
3.2,WEEKDAY,39.911636,-82.827029,8,0,5,REFUGEE RD & COUNTRY VIE,8,0.1,6990
35.5,WEEKDAY,39.910716,-82.823874,20,5,5,REFUGEE RD & GENDER RD,24,1.0,6991
3.4,WEEKDAY,40.137457,-82.947365,0,5,101,CLEVELAND AVE & COUNTY L,5,0.1,6931
0.3,WEEKDAY,40.145495,-82.9454,1,0,101,POLARIS PKWY & CLEVELAND,1,0.0,6932
2.0,WEEKDAY,40.145624,-82.945443,7,0,102,POLARIS PKWY & CLEVELAND,7,0.1,6932
0.6,WEEKDAY,39.879333,-82.884027,2,0,24,HAMILTON RD & FIREHOUSE,2,0.1,6934
0.8,WEEKDAY,39.879343,-82.883717,0,3,24,HAMILTON RD & FIREHOUSE,3,0.1,6935
5.6,WEEKDAY,39.914002,-82.852328,0,11,5,CHATTERTON RD & FONTAINE,12,0.2,6997
2.7,WEEKDAY,39.913372,-82.842862,8,1,5,CHATTERTON RD & BONUS DR,10,0.1,7013
5.5,WEEKDAY,39.91351,-82.843986,1,9,5,CHATTERTON RD & FOX CHAP,11,0.2,7014
10.7,WEEKDAY,39.905853,-82.823499,3,5,5,GENDER RD T C & PRIVATE,8,0.3,7015
1.2,WEEKDAY,39.913079,-82.83786,3,1,5,CHATTERTON RD & JOSHSTOC,3,0.0,7018
3.8,WEEKDAY,39.881475,-83.081235,4,3,3,COLUMBUS ST & RICHARD AV,7,0.1,6973
0.4,WEEKDAY,39.88136,-83.07728,1,0,3,COLUMBUS ST & BROOKPARK,1,0.0,6974
1.9,WEEKDAY,39.881158,-83.071032,6,0,3,COLUMBUS ST & KNAPP DR,6,0.1,6975
5.6,WEEKDAY,39.88102,-83.069091,11,1,3,STRINGTOWN RD & HOOVER R,12,0.2,6976
10.3,WEEKDAY,39.876343,-83.039865,2,11,3,BUCKEYE PKWY & ROAD B,13,0.3,6980
0.0,WEEKDAY,40.096503,-83.048773,0,0,74,LINWORTH RD & WOODMAN DR,0,0.0,7033
2.7,WEEKDAY,39.984779,-83.121467,27,1,5,TRABUE RD & DIVIDEND DR,28,0.1,7038
1378.1,WEEKDAY,39.877622,-83.045628,96,68,3,PARKWAY CENTRE DR & STRI,165,19.4,7042
0.0,WEEKDAY,40.105882,-82.963037,0,0,42,SHARON WOODS BLVD & ATTE,0,0.0,7051
0.1,WEEKDAY,40.106955,-82.966442,0,0,42,SCHROCK RD & HICKORY CRE,0,0.1,7052
1.9,WEEKDAY,39.913178,-82.838323,1,3,5,CHATTERTON RD & JOSHSTOC,4,0.1,7019
1.1,WEEKDAY,39.990437,-83.155269,0,1,71,TANGLEWOOD PARK BLVD & S,1,0.1,7023
0.5,WEEKDAY,39.990144,-83.155126,1,0,71,TANGLEWOOD PARK BLVD & S,1,0.1,7024
4.8,WEEKDAY,39.981807,-83.146537,13,1,5,RENNER RD & RENTRA DR,14,0.2,7025
3.5,WEEKDAY,39.981739,-83.146516,0,7,5,RENNER RD & RENTRA DR,7,0.2,7026
2.4,WEEKDAY,40.067781,-83.137647,3,1,21,BRITTON PKWY & TUTTLES B,4,0.2,7664
18.3,WEEKDAY,39.946199,-82.901914,9,39,23,E LIVINGSTON AVE & RAND,48,0.3,1980
34.9,WEEKDAY,39.946411,-82.905524,26,71,1,E LIVINGSTON AVE & BARNE,97,0.4,1983
26.1,WEEKDAY,39.946413,-82.905625,25,44,23,E LIVINGSTON AVE & BARNE,69,0.4,1983
18.6,WEEKDAY,39.946745,-82.911793,11,38,1,E LIVINGSTON AVE & S HAM,50,0.2,1984
5.3,WEEKDAY,39.945069,-82.883339,18,3,1,E LIVINGSTON AVE & BURLI,21,0.1,1952
16.1,WEEKDAY,39.944862,-82.879748,36,3,1,E LIVINGSTON AVE & GRATT,39,0.2,1953
22.0,WEEKDAY,39.944694,-82.876797,49,37,1,E LIVINGSTON AVE & S HAM,86,0.3,1954
